ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days Subscribed,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count
2,EBR,Limited,INITIAL_PURCHASE,Web,39,USD,11/28/19,2/28/20,92,No,No,NULL,NULL,Off,Other,Consumer,Web,No,Yes,4,3,0,1,0
6,ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,8/23/19,11/23/19,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,162,1,0,1,0
7,ESP,Limited,RENEWAL,Web,79,USD,7/21/19,11/11/19,113,Yes,No,NULL,NULL,Off,Other,Consumer,App,Yes,Yes,2,0,0,0,0
8,DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,3/7/20,6/7/20,92,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,25,17,4,7,2
9,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,3/3/20,6/8/20,97,No,Yes,3/3/20,3/6/20,On,Europe,Consumer,Web,No,Yes,52,11,0,5,0
12,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/17/19,1/21/20,96,No,Yes,10/17/19,10/20/19,Off,US/Canada,Consumer,Web,Yes,Yes,94,0,0,0,0
22,ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,12/24/19,3/24/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,8,2,0,1,0
27,ESC,Limited,INITIAL_PURCHASE,Web,65.94,USD,3/16/19,12/27/19,286,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
29,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/21/19,12/21/19,91,Yes,No,NULL,NULL,Off,Other,Consumer,Web,Yes,Yes,316,243,4,120,1
35,EBR,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/19/19,10/22/19,95,No,Yes,7/19/19,7/22/19,On,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
40,ITA,Limited,RENEWAL,Web,35.97,USD,10/1/19,7/1/20,274,No,No,NULL,NULL,On,Other,Other,Unknown,No,No,3,1,0,1,0
42,ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,1/27/20,4/30/20,94,No,Yes,1/27/20,1/30/20,Off,US/Canada,Consumer,Web,Yes,Yes,19,11,4,7,2
43,RUS,Limited,INITIAL_PURCHASE,Web,39,USD,8/22/19,11/25/19,95,No,Yes,8/22/19,8/25/19,Off,Europe,Consumer,Web,No,Yes,79,56,1,38,1
65,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,8/24/19,2/24/20,184,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,38,3,0,3,0
71,ESP,Limited,INITIAL_PURCHASE,Web,34.64,USD,12/3/19,3/3/20,91,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,10,0,0,0,0
79,FRA,Limited,INITIAL_PURCHASE,Web,119,USD,9/4/19,3/7/20,185,No,Yes,1/23/20,1/26/20,Off,US/Canada,Consumer,Web,Yes,Yes,9,0,0,0,0
84,RUS,Limited,INITIAL_PURCHASE,Web,143.76,USD,9/27/19,12/30/19,94,No,Yes,6/6/19,6/9/19,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
87,CHI,Limited,RENEWAL,Web,79,USD,6/16/19,12/21/19,188,No,Yes,6/16/19,6/19/19,Off,Europe,Consumer,App,No,Yes,NULL,NULL,NULL,NULL,NULL
96,GRK,Limited,INITIAL_PURCHASE,Web,71.63,USD,12/18/19,6/18/20,183,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
98,FRA,Limited,RENEWAL,Web,35.97,USD,9/22/19,6/22/20,274,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0
105,FRA,Limited,RENEWAL,Web,35.97,USD,10/18/19,7/21/20,277,No,Yes,10/18/19,10/21/19,On,US/Canada,Consumer,Web,Yes,Yes,6,4,0,2,0
106,ENG,Limited,RENEWAL,Web,79,USD,7/14/19,2/8/20,209,No,Yes,7/14/19,7/17/19,Off,US/Canada,Consumer,Web,Yes,Yes,274,243,7,74,1
125,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/25/19,1/24/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,99,2,1,2,1
131,ITA,Limited,RENEWAL,App,37.77,USD,7/18/19,4/21/20,278,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
150,JPN,Limited,RENEWAL,Web,79,USD,7/20/19,4/20/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,10,9,4,2,1
153,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/26/19,11/29/19,95,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0
154,FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,9/19/19,12/19/19,91,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,51,2,0,2,0
172,ESP,Limited,RENEWAL,Web,79,USD,4/13/19,1/13/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,141,5,1,5,1
174,FRA,Limited,INITIAL_PURCHASE,Web,37.77,USD,8/30/19,11/30/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
183,NED,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/16/20,4/19/20,94,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,28,24,17,7,3
187,ALL,Limited,INITIAL_PURCHASE,Web,99,USD,3/15/20,3/15/21,365,No,Yes,3/12/20,3/15/20,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0
194,ESP,Limited,INITIAL_PURCHASE,Web,38.81,USD,8/16/19,11/16/19,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,150,1,0,1,0
200,FRA,Limited,INITIAL_PURCHASE,Web,38.25,USD,1/28/20,4/28/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,43,3,0,2,0
219,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/9/20,5/9/20,90,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0
224,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/28/20,6/14/20,107,No,Yes,2/28/20,3/2/20,Off,Other,Consumer,Web,No,Yes,11,3,0,1,0
229,ENG,Limited,INITIAL_PURCHASE,Web,69.76,USD,11/6/19,5/6/20,182,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL
236,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,7/23/19,10/26/19,95,No,Yes,7/23/19,7/26/19,Off,US/Canada,Consumer,Web,Yes,Yes,181,7,0,6,0
241,NED,Limited,INITIAL_PURCHASE,Web,38.13,USD,11/20/19,2/20/20,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,63,3,3,1,1
246,ALL,Limited,INITIAL_PURCHASE,Web,116.01,USD,3/15/20,3/15/21,365,No,Yes,12/11/19,12/14/19,On,Europe,Consumer,Web,No,Yes,12,12,10,2,1
248,ENG,Limited,RENEWAL,Web,35.97,USD,8/24/19,5/27/20,277,No,Yes,8/24/19,8/27/19,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0
251,JPN,Limited,INITIAL_PURCHASE,Web,41.46,USD,1/9/20,4/9/20,91,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,14,1,1,1,1
275,ENG,Limited,RENEWAL,Web,35.97,USD,1/10/20,7/10/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0
283,ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,12/10/19,6/18/20,191,No,Yes,12/10/19,12/13/19,On,US/Canada,Consumer,Web,Yes,Yes,131,0,0,0,0
292,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/8/20,6/8/20,92,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,7,0,0,0,0
